"listing_id","suburb","tipo","quartos","banheiros","camas","hospedes","dias_calendario","preco_medio","limpeza","min_noites","n_reviews","guest_favorite","instant_book","professional","superhost","star_rating","months_host"
"881204142086821328","Meia Praia","apartamento","3","2","3","7","68","587.43","200","0","43","true","true","false","true","4.98","8"
"39051477","Meia Praia","apartamento","4","4","4","10","92","1539.69","450","0","10","false","false","false","false","4.8","3"
"22648075","Centro","apartamento","2","2","5","6","65","396.66","150","0","16","false","false","false","false","5","2"
"748336742434217963","Meia Praia","apartamento","2","1","3","6","44","456.95","200","0","45","true","true","false","true","4.87","2"
"1226856286781952840","Centro","apartamento","2","1","3","5","86","721.35","220","0","12","false","true","true","false","4.58","1"
"41676390","Meia Praia","apartamento","2","2","2","6","90","607.43","250","0","20","false","false","false","false","4.95","11"
"40289385","Alto Sao Bento","casa","12","13","34","16","62","2586.4","700","0","15","false","false","false","false","4.67","1"
"42735835","Meia Praia","apartamento","2","2","7","5","11","260","250","0","87","true","false","false","true","4.85","11"
"1004910078575857573","Meia Praia","apartamento","3","2","5","7","27","770.28","300","0","12","true","false","false","true","5","2"
"957349094500016515","Centro","apartamento","2","2","2","6","82","729.22","200","0","11","true","true","false","true","4.91","0"
"786307999394390316","Meia Praia","apartamento","2","2","2","6","72","604.26","300","0","14","true","false","false","true","4.86","0"
"900757690500508426","Meia Praia","apartamento","2","2","2","8","60","645.97","350","0","22","true","false","true","false","4.95","0"
"705946468067026302","Meia Praia","apartamento","2","2","4","6","60","477.5","300","0","22","true","false","false","true","5","0"
"31141252","Meia Praia","apartamento","2","2","3","5","38","402.63","250","0","84","true","true","false","true","4.96","0"
"1074829679064875721","Meia Praia","apartamento","3","3","4","8","6","749","0","0","10","true","false","false","true","5","11"
"12067632","Meia Praia","apartamento","3","3","3","8","34","707.7","350","0","21","true","false","false","false","5","0"
"1268755217310742256","Meia Praia","apartamento","2","2","2","4","37","791.35","300","0","0","false","false","false","false","0","2"
"6569062","Meia Praia","apartamento","3","2","3","6","104","746.93","250","0","21","true","false","false","false","4.95","0"
"38695314","Meia Praia","apartamento","3","3","5","9","62","605.65","200","0","62","true","false","false","true","4.85","4"
"703678241822238330","Meia Praia","apartamento","2","1","4","5","60","321.23","300","0","15","true","false","false","true","4.93","4"
"681894806923375678","Meia Praia","apartamento","3","4","3","8","39","765.77","300","0","19","true","false","false","true","5","2"
"51683537","Meia Praia","apartamento","2","2","3","5","28","437.16","300","0","22","true","true","false","true","5","4"
"30519162","Canto da Praia","casa","4","7","5","8","91","3900","900","0","13","true","true","false","false","5","1"
"38730549","Meia Praia","apartamento","3","3","3","8","78","781.83","300","0","37","true","false","true","false","4.97","3"
"1100991386372756521","Meia Praia","apartamento","2","2","0","8","95","818.32","0","0","12","true","false","false","true","5","9"
"53671997","Meia Praia","apartamento","2","2","3","6","23","451.65","250","0","12","true","true","false","true","4.92","1"
"1050857413300266721","Meia Praia","apartamento","3","2","6","8","58","692.44","500","0","2","false","true","true","false","5","1"
"754375397775403281","Meia Praia","apartamento","3","2","4","6","96","842.88","250","0","8","true","false","false","false","5","2"
"1203075817950465589","Centro","apartamento","3","2","4","6","72","1410.83","400","0","0","false","false","false","false","0","11"
"801271167231006592","Meia Praia","apartamento","2","2","2","6","40","251.92","300","0","17","true","false","false","true","4.94","0"
"31380471","Meia Praia","apartamento","3","3","4","7","78","877.23","250","0","27","false","false","false","true","4.67","0"
"1208757855935244741","Centro","apartamento","1","1","1","2","82","392.75","150","0","0","false","true","true","false","0","1"
"53314692","Centro","apartamento","1","1","1","5","60","708.3","250","0","19","false","true","false","false","4.58","2"
"939325387438995809","Meia Praia","apartamento","4","5","5","13","76","1382.89","400","0","4","false","false","false","false","5","2"
"916052715744473224","Meia Praia","apartamento","3","4","3","6","54","1182.87","300","0","12","true","false","false","false","4.92","6"
"859653300578357102","Morretes","apartamento","2","4","2","4","57","702","250","0","26","true","false","true","true","5","0"
"45973790","Meia Praia","apartamento","2","2","3","4","101","655.84","380","0","12","false","false","false","true","4.83","4"
"39642773","Meia Praia","casa","3","1","7","8","46","370.65","300","0","61","true","false","false","true","4.89","2"
"53077335","Centro","apartamento","3","2","4","7","11","1000","250","0","7","false","false","false","false","5","3"
"1268889705366032062","Morretes","casa","2","2","3","6","65","1004.98","0","0","0","false","false","false","false","0","0"
"778933432062496662","Meia Praia","apartamento","3","4","4","6","73","1044.37","300","0","15","true","true","false","false","5","1"
"577333685681759877","Meia Praia","apartamento","2","2","4","6","38","561.91","200","0","55","true","true","false","true","4.85","10"
"826617189908528565","Meia Praia","apartamento","1","1","2","4","65","480.35","150","0","106","true","false","false","true","4.98","10"
"730437501239201082","Meia Praia","apartamento","3","2","6","8","84","666.04","350","0","11","false","false","false","true","4.82","3"
"32592683","Morretes","casa","4","3","5","12","56","1158.93","300","0","10","true","false","false","false","5","10"
"1062615116593634676","Meia Praia","apartamento","1","1","1","4","66","441.67","180","0","11","true","true","false","true","5","11"
"1254384361135492137","Morretes","apartamento","2","2","2","4","86","666.8","369","0","4","false","true","true","false","4.5","1"
"54005716","none","casa","1","1","2","4","43","800","220","0","43","false","true","false","false","4.86","0"
"41883230","Meia Praia","apartamento","3","3","6","7","53","535.47","300","0","5","false","false","false","false","5","10"
"40209404","Centro","apartamento","1","1","3","4","73","342.46","35","0","373","false","true","true","true","4.86","0"
"42003334","Meia Praia","apartamento","3","2","6","8","65","634.24","300","0","30","true","false","false","true","4.93","11"
"734774611454860165","Meia Praia","apartamento","4","3","4","8","64","598.21","300","0","10","true","true","false","false","4.9","11"
"21103486","Meia Praia","apartamento","3","2","3","6","66","371.06","250","0","8","false","false","false","false","5","3"
"936216057908307884","Morretes","casa","2","2","3","8","75","402.02","195","0","12","true","false","false","true","4.92","11"
"734991572208138176","Centro","apartamento","1","1","2","3","83","277.98","80","0","40","true","false","false","true","4.95","2"
"45512442","Centro","apartamento","4","2","5","8","61","676.29","250","0","20","false","false","false","false","4.8","4"
"40371384","Centro","apartamento","1","1","3","6","91","590.53","60","0","343","false","true","true","true","4.83","0"
"1091408953130822622","Centro","apartamento","2","1","3","6","48","310.62","0","0","13","true","true","false","true","5","4"
"973272705231391942","Meia Praia","apartamento","2","1","3","4","45","301.11","120","0","12","true","true","false","true","4.92","3"
"26839303","Meia Praia","apartamento","2","2","2","8","52","703.48","200","0","29","true","false","false","true","4.86","6"
"45513430","Meia Praia","apartamento","3","2","3","8","89","782.92","250","0","14","true","false","false","false","4.86","3"
"53474066","Centro","apartamento","3","2","3","7","39","882.31","200","0","15","false","false","false","false","4.67","1"
"14884678","Meia Praia","apartamento","3","2","3","6","42","573.57","250","0","20","false","false","false","false","4.7","2"
"16570256","Meia Praia","apartamento","3","3","7","10","47","497.89","250","0","13","false","false","false","false","4.77","0"
"53190433","Centro","apartamento","3","2","3","8","39","820.51","350","0","20","false","false","false","false","4.7","9"
"1207335703563012811","Centro","apartamento","1","1","1","2","82","436.14","150","0","1","false","true","true","false","5","1"
"22306996","Meia Praia","apartamento","2","2","3","5","30","213.17","220","0","15","true","false","false","true","5","0"
"779104726998664227","Meia Praia","apartamento","2","2","5","6","38","412","250","0","16","true","false","false","true","4.94","1"
"766052072199682693","Meia Praia","apartamento","1","2","3","6","57","645.33","200","0","23","false","false","false","true","4.78","4"
"31059537","Centro","apartamento","3","2","5","8","78","821.27","250","0","61","true","true","false","true","4.98","0"
"45889892","Meia Praia","apartamento","2","2","4","6","60","622.64","250","0","58","true","false","false","true","4.98","2"
"29739100","Meia Praia","apartamento","3","2","3","7","89","732.9","350","0","19","true","true","false","false","5","4"
"1084601543056055517","Meia Praia","apartamento","4","3","8","12","63","1357.08","400","0","7","true","false","false","true","5","10"
"1193414131980072087","Centro","apartamento","2","1","3","6","66","691.15","240","0","16","true","true","true","false","4.94","1"
"53133732","Meia Praia","apartamento","2","2","3","6","82","784.46","350","0","10","true","false","true","false","5","0"
"1262982199583014782","Centro","apartamento","2","1","3","6","83","758.24","240","0","9","false","true","true","false","4.67","1"
"963916345061155113","Meia Praia","apartamento","3","3","7","13","35","1359.01","300","0","18","true","false","true","true","5","4"
"21397811","Meia Praia","apartamento","3","2","8","8","68","695.59","350","0","19","true","false","false","false","4.89","2"
"1057137469420115073","Morretes","apartamento","2","2","3","6","78","728.95","400","0","28","true","true","true","false","4.96","1"
"44425260","Meia Praia","apartamento","2","2","5","8","66","496.62","350","0","6","false","false","false","false","5","5"
"721143022842232721","Meia Praia","apartamento","3","2","3","8","59","501.94","200","0","13","false","false","false","false","4.46","3"
