"listing_id","suburb","tipo","listing_type","sale_price","usable_area","bedrooms","bathrooms","parking","iptu","condominio","preco_m2"
"2687011752","Meia Praia","UNIT","apartamento","1598122","131",,"4","2",,,"12199.4045801527"
"2697432835","Meia Praia","UNIT","apartamento","1450000","118",,"4","2",,,"12288.1355932203"
"2612161501","Castelo Branco","UNIT","apartamento","1500000","125",,"4","3","0",,"12000"
"2598271159","Morretes","UNIT","apartamento","870000","70",,"3","1","800","350","12428.5714285714"
"2691331590","Andorinha","UNIT","apartamento","2150000","130",,"4","3",,,"16538.4615384615"
"2719046954","Centro","UNIT","apartamento","10500000","470",,"6","4","4500","1750","22340.4255319149"
"2705744229","Meia Praia","UNIT","apartamento","1648500","117",,"3","2","1375","590","14089.7435897436"
"2617641178","Centro","UNIT","apartamento","3900000","150",,"5","3","0","0","26000"
"2702953872","Sert?o do Trombudo","UNIT","casa","6500000","300",,"6","20","2000","0","21666.6666666667"
"2766855415","Casa Branca","UNIT","casa","989000","149",,"3","1","0","0","6637.58389261745"
"2644816494","Meia Praia","UNIT","apartamento","1350000","105",,"2","2",,,"12857.1428571429"
"2744689901","Meia Praia","UNIT","apartamento","9998000","180",,"5","3",,,"55544.4444444444"
"2760827827","Andorinha","UNIT","apartamento","1945000","175",,"4","2",,,"11114.2857142857"
"1546305474","Castelo Branco","UNIT","apartamento","1100000","97",,"3","2","1000","292","11340.206185567"
"2666979700","Meia Praia","UNIT","apartamento","2790000","142",,"4","3",,,"19647.8873239437"
"2613764899","Meia Praia","UNIT","apartamento","1450000","123",,"3","2",,,"11788.6178861789"
"2609061132","Meia Praia","UNIT","apartamento","2300000","164",,"5","3","1","550","14024.3902439024"
"2766851231","Castelo Branco","UNIT","apartamento","1399800","103",,"4","3","0","570","13590.2912621359"
"2761880214","Meia Praia","UNIT","apartamento","1200000","80",,"2","2",,,"15000"
"2592489849","Andorinha","UNIT","apartamento","1530000","135",,"3","1","1500","500","11333.3333333333"
"2763648539","Castelo Branco","UNIT","apartamento","1550000","125",,"4","2",,"700","12400"
"2702670796","Morretes","UNIT","casa","550000","70",,"3","2","500","0","7857.14285714286"
"2762331321","Meia Praia","UNIT","apartamento","1400000","164",,"3","2",,,"8536.58536585366"
"2613245825","Castelo Branco","UNIT","apartamento","1340000","125",,"3","2",,,"10720"
"2648244192","Casa Branca","UNIT","casa","730000","139",,"1","1",,,"5251.79856115108"
"2741975571","Centro","UNIT","apartamento","950000","80",,"3","2","700","461","11875"
"2764635017","Meia Praia","UNIT","apartamento","1800000","142",,"4","2","0","0","12676.0563380282"
"2609060688","Castelo Branco","UNIT","apartamento","973668","105",,"2","1","1","503","9273.02857142857"
"2727819545","Tabuleiro dos Oliveiras","UNIT","casa","895000","135",,"2","1",,,"6629.62962962963"
"2560637347","Morretes","UNIT","casa","480000","70",,"2","1","500","0","6857.14285714286"
"2754972400","Meia Praia","UNIT","apartamento","1199000","112",,"2","2","1500","570","10705.3571428571"
"2593389870","Meia Praia","UNIT","apartamento","4890000","202",,"4","3",,,"24207.9207920792"
"2748231901","Centro","UNIT","apartamento","4843960","262",,"4","4","0","0","18488.3969465649"
"2749233294","Centro","UNIT","apartamento","8095000","229",,"5","3",,,"35349.3449781659"
"2764633096","Morretes","UNIT","apartamento","890000","79",,"3","1","0","0","11265.8227848101"
