"suburb","n_anuncios","n_apartamentos","n_casas","mediana_preco_venda","media_preco_venda","mediana_preco_m2","media_preco_m2","area_media_m2","quartos_medio","iptu_medio_anual","condominio_medio"
"Meia Praia","3467","3414","19","2300000","3056153","16038","21065","170.4","0","4242","2764"
"Morretes","1773","1307","367","768000","1002890","10714","11140","96.2","0","583","1693"
"Centro","1010","985","17","2600000","3416479","16797","20374","181.4","0","1445","394"
"Andorinha","782","759","9","1799190","2172611","13999","14758","233","0","1136","2641"
"Castelo Branco","510","496","8","1699100","2164646","13323","15108","145.1","0","7879","4577"
"Canto da Praia","131","103","27","2143000","3271883","15126","16643","193.8","0","608","206"
"Tabuleiro dos Oliveiras","128","122","5","799000","932576","11571","11939","166.3","0","503","183"
"Jardim Praia Mar","104","103","0","725000","754456","10870","11167","107.9","0","325","167"
"<vazio>","98","88","7","1600000","2632305","12174","14449","191.5","0","450","27167"
"Casa Branca","92","27","38","989000","2702934","9714","9114","2693.8","0","813","360"
"Alto S?o Bento","64","35","16","626070","713843","8333","7864","179.6","0","299","89"
"Ilhota","55","28","22","4247440","7707134","18242","17101","429.3","0","1401","543"
"Varzea","46","33","4","662000","1138513","9000","7836","406.9","0","1560","78"
"Sert?o do Trombudo","41","12","8","690000","1640209","6111","19887","1391","0","396","153"
"Tabuleiro","6","6","0","699000","716000","12944","12471","57.8","0","0","0"
"Estreito","5","5","0","4895000","4472000","21283","22555","216.4","0","833","588"
"Itapema","2","2","0","649895","1614948","9419","15029","97","0","0","0"
"Taboleiro","1","1","0","850000","850000","16038","16038","53","0","0","0"
"Meia Praia - Frente Mar","1","1","0","6830000","6830000","43503","43503","157","0","0","0"
"Sert?ozinho","1","1","0","529360","529360","9625","9625","55","0","800","400"
"Ocean Tower","1","1","0","4500000","4500000","19912","19912","226","0","4720","2100"
