"listing_id","suburb","tipo","quartos","banheiros","camas","hospedes","n_noites","preco_medio","limpeza","min_noites","n_reviews","guest_favorite","instant_book","professional","superhost","star_rating","months_host"
"51861410","Varzea","casa","3","2","4","7","18","700","350","0","26","true","true","false","true","4.96","4"
"39051477","Meia Praia","apartamento","4","4","4","10","248","1539.69","450","0","10","false","false","false","false","4.8","3"
"41478160","Meia Praia","apartamento","2","2","4","6","29","488.52","200","0","7","false","false","false","false","5","4"
"22648075","Centro","apartamento","2","2","5","6","65","396.66","150","0","16","false","false","false","false","5","2"
"748336742434217963","Meia Praia","apartamento","2","1","3","6","105","457.81","200","0","45","true","true","false","true","4.87","2"
"53492577","Meia Praia","apartamento","3","2","3","8","28","292.5","300","0","15","true","true","false","false","4.93","1"
"41676390","Meia Praia","apartamento","2","2","2","6","243","607.98","250","0","20","false","false","false","false","4.95","11"
"1189331897618015345","Centro","apartamento","2","2","3","6","207","719.63","240","0","17","true","true","true","false","4.82","1"
"957349094500016515","Centro","apartamento","2","2","2","6","219","677.69","200","0","11","true","true","false","true","4.91","0"
"786307999394390316","Meia Praia","apartamento","2","2","2","6","158","591.41","300","0","14","true","false","false","true","4.86","0"
"900757690500508426","Meia Praia","apartamento","2","2","2","8","119","653.29","350","0","22","true","false","true","false","4.95","0"
"705946468067026302","Meia Praia","apartamento","2","2","4","6","159","486.42","300","0","22","true","false","false","true","5","0"
"31141252","Meia Praia","apartamento","2","2","3","5","38","402.63","250","0","84","true","true","false","true","4.96","0"
"1074829679064875721","Meia Praia","apartamento","3","3","4","8","6","749","0","0","10","true","false","false","true","5","11"
"12067632","Meia Praia","apartamento","3","3","3","8","74","721.11","350","0","21","true","false","false","false","5","0"
"1268755217310742256","Meia Praia","apartamento","2","2","2","4","37","791.35","300","0","0","false","false","false","false","0","2"
"6569062","Meia Praia","apartamento","3","2","3","6","270","737.09","250","0","21","true","false","false","false","4.95","0"
"38695314","Meia Praia","apartamento","3","3","5","9","150","629.89","200","0","62","true","false","false","true","4.85","4"
"703678241822238330","Meia Praia","apartamento","2","1","4","5","60","321.23","300","0","15","true","false","false","true","4.93","4"
"681894806923375678","Meia Praia","apartamento","3","4","3","8","107","770.67","300","0","19","true","false","false","true","5","2"
"51683537","Meia Praia","apartamento","2","2","3","5","73","441.65","300","0","22","true","true","false","true","5","4"
"30519162","Canto da Praia","casa","4","7","5","8","91","3900","900","0","13","true","true","false","false","5","1"
"38730549","Meia Praia","apartamento","3","3","3","8","193","807.61","300","0","37","true","false","true","false","4.97","3"
"53671997","Meia Praia","apartamento","2","2","3","6","23","451.65","250","0","12","true","true","false","true","4.92","1"
"754375397775403281","Meia Praia","apartamento","3","2","4","6","248","838.59","250","0","8","true","false","false","false","5","2"
"1203075817950465589","Centro","apartamento","3","2","4","6","87","1411.38","400","0","0","false","false","false","false","0","11"
"801271167231006592","Meia Praia","apartamento","2","2","2","6","81","251.95","300","0","17","true","false","false","true","4.94","0"
"31380471","Meia Praia","apartamento","3","3","4","7","186","890.78","250","0","27","false","false","false","true","4.67","0"
"766052072199682693","Meia Praia","apartamento","1","2","3","6","144","626.68","200","0","23","false","false","false","true","4.78","4"
"53314692","Centro","apartamento","1","1","1","5","146","665.88","250","0","19","false","true","false","false","4.58","2"
"753461577197808016","Meia Praia","apartamento","3","2","4","6","205","875.63","300","0","16","true","false","false","true","5","1"
"859653300578357102","Morretes","apartamento","2","4","2","4","171","702","250","0","26","true","false","true","true","5","0"
"45973790","Meia Praia","apartamento","2","2","3","4","259","652.13","380","0","12","false","false","false","true","4.83","4"
"39642773","Meia Praia","casa","3","1","7","8","46","370.65","300","0","61","true","false","false","true","4.89","2"
"53077335","Centro","apartamento","3","2","4","7","11","1000","250","0","7","false","false","false","false","5","3"
"1268889705366032062","Morretes","casa","2","2","3","6","128","1005.06","0","0","0","false","false","false","false","0","0"
"778933432062496662","Meia Praia","apartamento","3","4","4","6","189","1027.64","300","0","15","true","true","false","false","5","1"
"826617189908528565","Meia Praia","apartamento","1","1","2","4","144","477.74","150","0","106","true","false","false","true","4.98","10"
"730437501239201082","Meia Praia","apartamento","3","2","6","8","225","686.45","350","0","11","false","false","false","true","4.82","3"
"1317427472349939673","Centro","casa","3","2","5","9","91","1000","0","0","0","false","false","false","false","0","0"
"32592683","Morretes","casa","4","3","5","12","127","1149.56","300","0","10","true","false","false","false","5","10"
"1062615116593634676","Meia Praia","apartamento","1","1","1","4","150","441.02","180","0","11","true","true","false","true","5","11"
"1254384361135492137","Morretes","apartamento","2","2","2","4","226","638.19","369","0","4","false","true","true","false","4.5","1"
"54005716","none","casa","1","1","2","4","43","800","220","0","43","false","true","false","false","4.86","0"
"41634696","Sertaozinho","casa","3","2","3","8","84","502.67","0","0","22","false","false","false","false","4.59","0"
"40209404","Centro","apartamento","1","1","3","4","184","347.03","35","0","373","false","true","true","true","4.86","0"
"42003334","Meia Praia","apartamento","3","2","6","8","172","655.07","300","0","30","true","false","false","true","4.93","11"
"21103486","Meia Praia","apartamento","3","2","3","6","168","357.33","250","0","8","false","false","false","false","5","3"
"936216057908307884","Morretes","casa","2","2","3","8","179","382.29","195","0","12","true","false","false","true","4.92","11"
"734991572208138176","Centro","apartamento","1","1","2","3","83","277.98","80","0","40","true","false","false","true","4.95","2"
"45512442","Centro","apartamento","4","2","5","8","61","676.29","250","0","20","false","false","false","false","4.8","4"
"53365226","Meia Praia","apartamento","2","2","0","5","54","347.87","200","0","20","false","false","false","false","4.65","1"
"40371384","Centro","apartamento","1","1","3","6","236","597.9","60","0","343","false","true","true","true","4.83","0"
"1091408953130822622","Centro","apartamento","2","1","3","6","48","310.62","0","0","13","true","true","false","true","5","4"
"973272705231391942","Meia Praia","apartamento","2","1","3","4","45","301.11","120","0","12","true","true","false","true","4.92","3"
"26839303","Meia Praia","apartamento","2","2","2","8","129","762.58","200","0","29","true","false","false","true","4.86","6"
"45513430","Meia Praia","apartamento","3","2","3","8","89","782.92","250","0","14","true","false","false","false","4.86","3"
"812231708820863156","Meia Praia","apartamento","4","3","4","8","132","677.41","348","0","19","false","false","false","true","4.79","11"
"52826190","Morretes","casa","2","1","4","6","38","321.69","250","0","12","true","false","false","true","4.75","11"
"16570256","Meia Praia","apartamento","3","3","7","10","47","497.89","250","0","13","false","false","false","false","4.77","0"
"21734892","Centro","apartamento","3","2","6","8","168","792.49","250","0","37","true","false","false","true","4.92","1"
"1207335703563012811","Centro","apartamento","1","1","1","2","211","434.23","150","0","1","false","true","true","false","5","1"
"22306996","Meia Praia","apartamento","2","2","3","5","56","216.52","220","0","15","true","false","false","true","5","0"
"779104726998664227","Meia Praia","apartamento","2","2","5","6","38","412","250","0","16","true","false","false","true","4.94","1"
"29739100","Meia Praia","apartamento","3","2","3","7","145","724.18","350","0","19","true","true","false","false","5","4"
"1084601543056055517","Meia Praia","apartamento","4","3","8","12","63","1357.08","400","0","7","true","false","false","true","5","10"
"1193414131980072087","Centro","apartamento","2","1","3","6","160","686.76","240","0","16","true","true","true","false","4.94","1"
"53133732","Meia Praia","apartamento","2","2","3","6","209","793.57","350","0","10","true","false","true","false","5","0"
"1262982199583014782","Centro","apartamento","2","1","3","6","197","754.63","240","0","9","false","true","true","false","4.67","1"
"42362925","Meia Praia","apartamento","4","4","4","8","188","1104.52","495","0","175","true","true","false","false","4.94","5"
"1057137469420115073","Morretes","apartamento","2","2","3","6","184","720.01","400","0","28","true","true","true","false","4.96","1"
"50243281","Meia Praia","apartamento","3","3","3","6","35","513.6","350","0","10","true","false","false","false","5","7"
"721143022842232721","Meia Praia","apartamento","3","2","3","8","59","501.94","200","0","13","false","false","false","false","4.46","3"
"798609957167332367","Meia Praia","apartamento","2","2","4","6","72","676.39","250","0","5","false","false","false","false","5","0"
"42709234","Centro","apartamento","3","3","4","8","141","695.8","300","0","12","false","false","false","false","4.92","10"
"1028988415727336651","Meia Praia","apartamento","1","1","1","4","70","561.98","200","0","1","false","false","false","false","5","1"
"23343001","Meia Praia","apartamento","3","3","3","8","211","568.5","250","0","80","true","false","false","false","4.89","10"
"1233370107101543516","Centro","apartamento","1","1","2","3","136","409.9","160","0","10","true","true","true","false","5","1"
"30105402","Meia Praia","apartamento","3","2","4","8","242","802.25","350","0","12","false","false","false","false","4.75","1"
"984846668146064982","Ilhota","casa","4","5","4","10","151","1021.61","300","0","4","false","false","false","false","5","3"
"856482117556875618","Meia Praia","apartamento","2","2","2","6","37","362.43","250","0","26","true","true","false","true","4.96","4"
"1219597802580113056","Centro","apartamento","1","1","2","4","191","602.28","190","0","6","false","true","true","false","4.83","1"
"40289385","Alto Sao Bento","casa","12","13","34","16","62","2586.4","700","0","15","false","false","false","false","4.67","1"
"21607605","Meia Praia","apartamento","4","3","5","11","47","779.09","300","0","13","false","false","false","false","4.85","3"
"1006396584243125090","Centro","apartamento","1","1","2","4","208","574.98","60","0","50","false","true","true","true","4.8","0"
"1005860682746801029","Morretes","apartamento","2","2","2","6","128","399.37","200","0","10","true","false","false","true","4.9","2"
"12359560","Meia Praia","apartamento","3","3","4","6","100","700.34","295","0","29","false","false","false","false","4.79","9"
"39059902","Meia Praia","apartamento","3","2","6","8","78","599.26","200","0","14","false","true","false","false","4.86","1"
"1260073533686146608","Centro","apartamento","1","1","1","2","187","437","150","0","12","true","true","true","false","4.75","1"
"45382246","Centro","apartamento","5","4","7","12","38","648.54","250","0","32","false","false","false","false","4.63","4"
"51403736","Meia Praia","outros","1","1","1","2","55","165.89","100","0","26","true","false","false","false","5","5"
"978410400232267791","Centro","apartamento","2","2","4","6","31","396.32","250","0","5","false","false","false","false","5","4"
"46072703","Meia Praia","apartamento","3","3","5","8","108","746.79","300","0","14","false","false","false","true","5","2"
"832123000813215722","Meia Praia","apartamento","0","1","1","4","221","518.59","120","0","13","false","false","false","true","4.85","6"
"803403468437987911","Morretes","casa","1","1","0","2","73","377.25","44","0","21","true","false","false","true","5","11"
"794996321339600522","Meia Praia","apartamento","2","2","2","6","94","427.31","250","0","8","true","true","false","false","5","3"
"703538637731385185","Meia Praia","apartamento","2","1","3","6","191","407.11","0","0","22","true","<NA>","","true","4.82","4"
"766156195693050227","Meia Praia","apartamento","5","5","5","16","53","1837.14","550","0","16","true","false","true","false","4.94","0"
"27022969","Meia Praia","apartamento","4","4","6","8","150","1726.47","365","0","2","false","false","false","false","5","10"
"1019756845213291605","Centro","outros","1","1","1","2","72","173.33","150","0","16","true","false","false","true","5","5"
"910815231577364751","Meia Praia","apartamento","1","1","2","5","137","539.91","150","0","38","true","false","false","true","4.97","7"
"2951220","Tabuleiro dos Oliveiras","apartamento","3","2","4","5","85","789.67","200","0","236","false","false","false","true","4.88","8"
"53190433","Centro","apartamento","3","2","3","8","76","794.74","350","0","20","false","false","false","false","4.7","9"
"45911573","Meia Praia","apartamento","3","3","3","8","81","1017.14","350","0","11","true","false","false","false","4.82","0"
"873255393900331818","Meia Praia","apartamento","3","2","3","6","202","735.72","200","0","20","false","true","true","true","4.75","5"
"1187772975255244525","Centro","apartamento","1","1","1","2","170","397.95","150","0","23","true","true","true","false","4.87","1"
"1174263938200349649","Centro","apartamento","1","1","1","2","239","568.85","250","0","22","true","false","false","true","4.91","11"
"38319706","Meia Praia","apartamento","3","2","6","7","208","571.26","350","0","40","true","false","false","false","5","4"
"1025356251415331533","Morretes","apartamento","2","2","5","5","80","368.68","250","0","27","true","false","false","true","5","11"
"628897724940732017","Meia Praia","apartamento","4","3","4","10","25","969","250","0","21","true","false","false","false","4.95","2"
"47326216","Meia Praia","apartamento","3","2","3","8","224","1141.52","280","0","8","true","false","false","true","5","10"
"17013106","Morretes","apartamento","4","4","6","8","59","1770.34","350","0","29","false","false","false","false","4.66","11"
"802922826036667371","Meia Praia","apartamento","3","3","4","8","64","1210.94","300","0","15","true","false","false","true","5","11"
"43379132","Meia Praia","apartamento","2","2","3","5","53","440.32","250","0","48","true","true","false","true","4.98","4"
"29761442","Meia Praia","apartamento","3","2","3","7","28","512.88","200","0","28","true","false","false","false","4.96","2"
"721635424816164605","Meia Praia","apartamento","3","4","3","8","143","751.66","310","0","14","true","false","false","true","5","3"
"52172003","Centro","apartamento","2","2","4","6","99","317","610","0","25","true","true","false","false","5","0"
"45531969","Meia Praia","apartamento","3","2","6","8","91","648.38","300","0","31","true","false","false","true","5","2"
"782734966853311782","Meia Praia","apartamento","3","3","4","8","210","770.54","350","0","9","true","true","false","true","5","0"
"999226382307972271","Morretes","apartamento","2","2","2","5","227","466.67","200","0","16","false","false","false","true","4.81","3"
"30922946","Meia Praia","outros","1","1","1","2","71","199.61","50","0","92","true","true","false","true","4.98","0"
"40039627","Centro","apartamento","1","1","2","3","206","337.29","35","0","504","false","true","true","true","4.84","0"
"1277103969415516416","Morretes","apartamento","2","2","4","8","54","454.01","100","0","8","true","false","false","true","5","2"
"1197121947398131654","Centro","apartamento","1","1","1","2","168","398.1","170","0","21","false","true","true","false","4.67","1"
"1269623861253689862","Centro","apartamento","1","1","1","3","154","407.4","190","0","3","false","true","true","false","5","1"
"1131810056799937593","Tabuleiro dos Oliveiras","apartamento","3","2","4","6","207","775.57","456","0","5","true","true","true","false","5","1"
"45621607","Meia Praia","apartamento","2","1","4","4","186","348.53","180","0","9","false","false","false","false","5","0"
"1053522951026570547","Canto da Praia","apartamento","2","2","3","6","208","670.25","250","0","12","false","false","false","false","4.83","11"
"21743476","Meia Praia","apartamento","3","3","3","7","56","692.08","250","0","18","false","false","false","false","4.78","1"
"21091876","Meia Praia","apartamento","3","2","3","6","231","767.82","350","0","11","false","false","false","false","4.91","8"
"791313913845076166","Meia Praia","apartamento","4","2","6","8","50","850","300","0","6","true","false","false","false","5","0"
"16662563","Meia Praia","apartamento","4","3","7","11","186","1728","350","0","56","false","false","true","true","4.88","0"
"790518755885066166","Centro","apartamento","3","4","3","6","119","794.54","0","0","6","true","false","false","false","5","0"
"728531681504670920","Tabuleiro dos Oliveiras","apartamento","2","2","6","10","37","151.87","250","0","55","true","false","false","true","4.84","3"
"53825192","Meia Praia","apartamento","3","3","4","7","103","929.12","200","0","65","true","false","true","true","4.89","5"
"1213824251801309412","Meia Praia","apartamento","3","3","4","6","187","1125.21","456","0","6","false","true","true","false","4.5","1"
"795495744056169046","Meia Praia","apartamento","3","2","5","8","150","914.16","450","0","39","true","false","false","true","4.95","11"
"31441134","Meia Praia","apartamento","4","4","4","11","180","1514.77","450","0","9","false","false","false","false","5","11"
"37118794","Meia Praia","apartamento","3","2","4","6","151","993.19","350","0","6","false","false","false","false","5","3"
"38957661","Meia Praia","apartamento","3","3","3","8","122","546.89","350","0","23","true","false","false","false","4.83","0"
"30910938","Meia Praia","apartamento","2","2","3","6","139","473.83","300","0","46","true","false","false","true","4.93","0"
"50059423","Meia Praia","apartamento","2","2","4","6","88","521.56","80","0","145","true","false","false","true","4.93","7"
"3263701","Meia Praia","apartamento","4","4","4","12","48","1533.33","250","0","42","false","false","false","false","4.9","7"
"605748852048435444","Meia Praia","apartamento","3","2","3","6","154","443.62","250","0","33","true","false","false","true","5","8"
"40391575","Morretes","apartamento","2","2","2","4","7","10000","190","0","46","false","true","false","false","4.78","1"
"645092818132652927","Meia Praia","apartamento","2","1","2","6","29","359.14","150","0","38","true","false","false","true","4.95","7"
