"bairro","quartos","n_airbnb","n_venda","med_diaria","med_venda","rec_anual","yield_pct","payback"
"tabuleiro dos oliveiras","3","4","14","790","810000","158526","19.6","5.1"
"morretes","1","4","50","533","600000","107066","17.8","5.6"
"morretes","3","10","155","681","845000","136745","16.2","6.2"
"tabuleiro dos oliveiras","2","12","106","485","780939","97318","12.5","8"
"morretes","2","51","1044","492","790000","98861","12.5","8"
"meia praia","1","20","58","516","875000","103631","11.8","8.4"
"casa branca","2","11","20","377","660000","75759","11.5","8.7"
"centro","2","65","89","601","1150000","120556","10.5","9.5"
"centro","1","78","22","456","890000","91510","10.3","9.7"
"canto da praia","2","4","14","544","1218613","109302","9","11.1"
"meia praia","2","187","244","486","1080000","97645","9","11.1"
"centro","3","45","438","776","2100000","155844","7.4","13.5"
"meia praia","3","327","1704","696","1884860","139736","7.4","13.5"
"meia praia","4","60","1328","1142","3600000","229210","6.4","15.7"
"meia praia","5","5","73","1837","8000000","368806","4.6","21.7"
"centro","4","4","401","713","3700000","143099","3.9","25.9"
"morretes","4","3","57","1117","6101328","224147","3.7","27.2"
