"bairro","quartos","perfil","n_airbnb","n_venda","diaria_mediana","dias_calend_med","preco_venda_mediana","preco_m2","area_mediana_m2","receita_bruta_anual","receita_liquida_anual","yield_bruto_pct","yield_liquido_pct","payback_anos","amostra_robusta"
"tabuleiro dos oliveiras","3","Apartamento de 3 quartos","4","14","790","0","810000","11571","70","158526","123207","19.6","15.2","6.6","pequena"
"morretes","1","Apartamento de 1 quarto (studio/compacto)","4","50","533","0","600000","12889","43","107066","81506","17.8","13.6","7.4","pequena"
"morretes","3","Apartamento de 3 quartos","10","155","680","0","845000","11449","70","136484","104471","16.2","12.4","8.1","sim"
"tabuleiro dos oliveiras","2","Apartamento de 2 quartos","12","106","484","0","780939","11429","69","97163","74629","12.4","9.6","10.5","sim"
"morretes","2","Apartamento de 2 quartos","50","1044","480","0","790000","11552","69","96384","73966","12.2","9.4","10.7","sim"
"meia praia","1","Apartamento de 1 quarto (studio/compacto)","19","58","513","0","875000","21250","40","103063","78104","11.8","8.9","11.2","sim"
"casa branca","2","Apartamento de 2 quartos","11","20","377","0","660000","10000","70","75759","56435","11.5","8.6","11.7","sim"
"centro","2","Apartamento de 2 quartos","65","89","600","0","1150000","13068","86","120370","94354","10.5","8.2","12.2","sim"
"centro","1","Apartamento de 1 quarto (studio/compacto)","78","22","456","0","890000","12899","42","91510","68283","10.3","7.7","13","sim"
"canto da praia","2","Apartamento de 2 quartos","4","14","544","0","1218613","14080","87","109302","84947","9","7","14.3","pequena"
"meia praia","2","Apartamento de 2 quartos","186","244","483","0","1080000","13033","85","97028","74514","9","6.9","14.5","sim"
"centro","3","Apartamento de 3 quartos","44","438","771","0","2100000","15789","131","154696","119952","7.4","5.7","17.5","sim"
"meia praia","3","Apartamento de 3 quartos","327","1704","700","0","1884860","14957","129","140451","107843","7.5","5.7","17.5","sim"
"meia praia","4","Apartamento de 4 quartos","59","1328","1137","0","3600000","18555","188","228241","177105","6.3","4.9","20.3","sim"
"meia praia","5","Apartamento de 5 quartos","5","73","1837","0","8000000","20933","343","368806","287585","4.6","3.6","27.8","pequena"
"centro","4","Apartamento de 4 quartos","4","401","713","0","3700000","18445","197","143099","104734","3.9","2.8","35.3","pequena"
"morretes","4","Apartamento de 4 quartos","3","57","1117","0","6101328","26745","187","224147","173625","3.7","2.8","35.1","pequena"
